tau = 4min

Point Number 	 Temperature 
 723 	 42.719631 
 724 	 42.207874 
 725 	 42.224933 
 726 	 42.207874 
 727 	 42.224933 
 728 	 42.224933 
 729 	 42.549045 
 730 	 42.531987 
 731 	 42.617279 
 732 	 42.668455 
 733 	 42.293167 
 734 	 42.736689 
 735 	 42.293167 
 736 	 42.702572 
 737 	 42.702572 
 738 	 42.310226 
 739 	 42.327284 
 740 	 42.344343 
 741 	 42.873157 
 742 	 42.770806 
 743 	 42.378460 
 744 	 42.361401 
 745 	 42.395518 
 746 	 42.395518 
 747 	 42.429635 
 748 	 42.753748 
 749 	 42.412577 
 750 	 42.429635 
 751 	 42.446694 
 752 	 42.463752 
 753 	 42.839040 
 754 	 42.480811 
 755 	 42.480811 
 756 	 42.497870 
 757 	 42.514928 
 758 	 42.907274 
 759 	 42.514928 
 760 	 42.907274 
 761 	 42.941391 
 762 	 42.907274 
 763 	 42.566104 
 764 	 42.924333 
 765 	 42.958450 
 766 	 42.634338 
 767 	 42.958450 
 768 	 42.668455 
 769 	 43.026684 
 770 	 42.651396 
 771 	 42.651396 
 772 	 43.094918 
 773 	 42.702572 
 774 	 43.077860 
 775 	 42.736689 
 776 	 43.129035 
 777 	 42.736689 
 778 	 43.129035 
 779 	 42.821982 
 780 	 42.787865 
 781 	 43.146094 
 782 	 42.787865 
 783 	 42.839040 
 784 	 43.111977 
 785 	 43.197270 
 786 	 43.214328 
 787 	 42.873157 
 788 	 43.265504 
 789 	 42.924333 
 790 	 42.890216 
 791 	 42.907274 
 792 	 43.248445 
 793 	 42.924333 
 794 	 42.924333 
 795 	 42.958450 
 796 	 43.367855 
 797 	 42.975509 
 798 	 43.316679 
 799 	 43.419030 
 800 	 43.436089 
 801 	 43.129035 
 802 	 43.384913 
 803 	 43.453148 
 804 	 43.077860 
 805 	 43.060801 
 806 	 43.504323 
 807 	 43.521382 
 808 	 43.470206 
 809 	 43.504323 
 810 	 43.470206 
 811 	 43.487265 
 812 	 43.180211 
 813 	 43.197270 
 814 	 43.504323 
 815 	 43.231387 
 816 	 43.572557 
 817 	 43.248445 
 818 	 43.248445 
 819 	 43.589616 
 820 	 43.726084 
 821 	 43.299621 
 822 	 43.640791 
 823 	 43.350796 
 824 	 43.333738 
 825 	 43.350796 
 826 	 43.350796 
 827 	 43.811377 
 828 	 43.709026 
 829 	 43.419030 
 830 	 43.743143 
 831 	 43.743143 
 832 	 43.828435 
 833 	 43.521382 
 834 	 43.845494 
 835 	 43.811377 
 836 	 43.845494 
 837 	 44.050196 
 838 	 43.930787 
 839 	 43.555499 
 840 	 43.896670 
 841 	 43.896670 
 842 	 43.606674 
 843 	 44.050196 
 844 	 43.657850 
 845 	 43.640791 
 846 	 43.674909 
 847 	 43.691967 
 848 	 44.135489 
